multa_id,velocidad_registrada,velocidad_maxima,radar_id,estado_multa,fecha,hora,ubicacion,patente,exceso_velocidad_real,exceso_velocidad
2160,136.0,60,R02,APELADA,2021-01-17,00:00,AV LIBERTADOR,PIW4215,76.0,73.0
2196,88.0,40,R03,ERROR,2021-03-10,00:00,AV SIEMPRE VIVA,6NCE831,48.0,46.0
2213,108.0,80,R01,IMPAGA,2023-02-08,00:00,AV LIBERTADOR,M431ZW,28.0,24.0
2226,106.0,40,R02,PAGADA,2021-07-08,00:00,AV LIBERTADOR,UM96201,66.0,64.0
2243,75.0,60,R01,PAGADA,2021-04-23,00:00,RUTA 9,9999868,15.0,12.0
2246,110.0,60,,ERROR,2022-02-23,00:00,AV SIEMPRE VIVA,FVIOUHP,50.0,47.0
2255,99.0,80,R02,APELADA,2022-11-21,00:00,AV LIBERTADOR,6EVY261,19.0,15.0
2263,109.0,60,R02,APELADA,2022-09-17,00:00,AV LIBERTADOR,6NCE831,49.0,46.0
2302,105.0,40,,PAGADA,2022-04-08,00:00,AV LIBERTADOR,NTHGLFT,65.0,63.0
2303,156.0,80,R02,IMPAGA,2021-09-11,00:00,AV SIEMPRE VIVA,BX55DOG,76.0,72.0
2308,53.0,40,R01,APELADA,2020-02-19,00:00,AV LIBERTADOR,MX60NZA,13.0,11.0
2310,89.0,80,R01,ERROR,2022-02-25,00:00,AV LIBERTADOR,M431ZW,9.0,5.0
2338,92.0,60,,IMPAGA,2022-06-03,00:00,AV LIBERTADOR,AWS167,32.0,29.0
2347,129.0,60,R03,PAGADA,2022-11-04,00:00,RUTA 9,5777770,69.0,66.0
2350,50.0,40,R01,APELADA,2021-12-25,00:00,AV SIEMPRE VIVA,FVIOUHP,10.0,8.0
2364,133.0,60,R02,APELADA,2022-03-30,00:00,AV LIBERTADOR,TL03GOG,73.0,70.0
2365,121.0,60,R03,PAGADA,2022-01-29,00:00,AV SIEMPRE VIVA,T0YDR,61.0,58.0
2368,91.0,40,,APELADA,2021-10-16,00:00,AV LIBERTADOR,GE1466,51.0,49.0
2378,148.0,80,R02,APELADA,1932-01-01,00:00,RUTA 9,RFH373,68.0,64.0
2382,112.0,40,R01,APELADA,1932-01-01,00:00,AV SIEMPRE VIVA,BP717,72.0,70.0
2383,67.0,60,R01,APELADA,2023-05-19,00:00,AV LIBERTADOR,691XC80,7.0,4.0
2384,68.0,40,R01,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,3646HBH,28.0,26.0
2423,123.0,60,R02,PAGADA,2022-03-30,00:00,AV SIEMPRE VIVA,DK414N,63.0,60.0
2434,57.0,40,R01,APELADA,2020-04-16,00:00,RUTA 9,HF3461,17.0,15.0
2436,49.0,40,R02,ERROR,2021-10-13,00:00,AV LIBERTADOR,BHRP770,9.0,7.0
2449,67.0,60,R02,ERROR,2023-06-09,00:00,AV LIBERTADOR,CD05601,7.0,4.0
2466,87.0,80,R01,PAGADA,2023-08-25,00:00,RUTA 9,MVU4688,7.0,3.0
2469,106.0,40,R03,PAGADA,2022-10-13,00:00,RUTA 9,MVU4688,66.0,64.0
2481,85.0,40,,PAGADA,2021-12-15,00:00,AV SIEMPRE VIVA,FVIOUHP,45.0,43.0
2493,107.0,40,R03,APELADA,2022-03-07,00:00,AV LIBERTADOR,6EVY261,67.0,65.0
2500,63.0,40,R01,APELADA,2023-08-16,00:00,AV LIBERTADOR,NTHGLFT,23.0,21.0
2517,140.0,80,R01,APELADA,2023-11-19,00:00,AV SIEMPRE VIVA,OUTSTDN,60.0,56.0
2550,75.0,60,R01,IMPAGA,1932-01-01,00:00,AV SIEMPRE VIVA,WU08YWC,15.0,12.0
2554,72.0,40,R03,PAGADA,2023-12-29,00:00,AV LIBERTADOR,NHZ1002,32.0,30.0
2556,150.0,80,R03,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,CT5B876,70.0,66.0
2565,128.0,60,R02,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,2999961,68.0,65.0
2568,105.0,60,R03,ERROR,1932-01-01,00:00,AV LIBERTADOR,41RSTZ,45.0,42.0
2574,139.0,60,R01,ERROR,2021-01-11,00:00,AV LIBERTADOR,INTIGR8,79.0,76.0
2575,143.0,80,R03,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,CBMUK,63.0,59.0
2584,112.0,80,R02,PAGADA,2023-11-14,00:00,RUTA 9,6611172,32.0,28.0
2596,108.0,80,R01,APELADA,2021-10-12,00:00,RUTA 9,BM351,28.0,24.0
2611,138.0,80,R03,PAGADA,2021-04-01,00:00,RUTA 9,WEFLYN,58.0,54.0
2620,101.0,40,,IMPAGA,2022-11-09,00:00,AV LIBERTADOR,W326AVE,61.0,59.0
2624,158.0,80,R02,ERROR,1932-01-01,00:00,RUTA 9,UW3932,78.0,74.0
2630,108.0,60,R01,IMPAGA,2021-12-30,00:00,AV SIEMPRE VIVA,9999868,48.0,45.0
2655,112.0,80,R02,APELADA,1932-01-01,00:00,AV SIEMPRE VIVA,WU08YWC,32.0,28.0
2672,46.0,40,R02,PAGADA,2022-05-08,00:00,AV LIBERTADOR,TL03GOG,6.0,4.0
2674,62.0,40,R03,ERROR,2022-08-16,00:00,AV SIEMPRE VIVA,HF3461,22.0,20.0
2679,111.0,80,R03,ERROR,1932-01-01,00:00,AV LIBERTADOR,AI7OVF,31.0,27.0
2708,138.0,60,R02,ERROR,2024-01-24,00:00,RUTA 9,DK414N,78.0,75.0
2725,104.0,60,R01,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,CD05601,44.0,41.0
2729,102.0,40,,IMPAGA,2022-11-08,00:00,RUTA 9,UM96201,62.0,60.0
2730,118.0,80,R02,ERROR,2020-12-15,00:00,AV SIEMPRE VIVA,WU08YWC,38.0,34.0
2734,88.0,60,R02,APELADA,2022-06-18,00:00,AV LIBERTADOR,OUTSTDN,28.0,25.0
2737,141.0,80,R02,ERROR,1932-01-01,00:00,AV LIBERTADOR,VTIIAHV,61.0,57.0
2744,96.0,40,,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,INTIGR8,56.0,54.0
2745,77.0,40,R03,APELADA,1932-01-01,00:00,AV SIEMPRE VIVA,3646HBH,37.0,35.0
2749,65.0,40,R03,APELADA,2021-06-14,00:00,RUTA 9,DK414N,25.0,23.0
2769,102.0,80,R03,IMPAGA,2021-10-01,00:00,AV LIBERTADOR,HF3461,22.0,18.0
2774,102.0,40,,IMPAGA,1932-01-01,00:00,AV SIEMPRE VIVA,WEFLYN,62.0,60.0
2778,128.0,60,R03,APELADA,2022-02-20,00:00,AV LIBERTADOR,6NCE831,68.0,65.0
2789,144.0,80,R01,APELADA,2021-09-22,00:00,AV LIBERTADOR,CBMUK,64.0,60.0
2821,62.0,40,R02,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,BB8986,22.0,20.0
2827,146.0,80,,PAGADA,2022-08-26,00:00,AV SIEMPRE VIVA,5777770,66.0,62.0
2837,151.0,80,R01,PAGADA,1932-01-01,00:00,AV LIBERTADOR,W326AVE,71.0,67.0
2853,109.0,40,R02,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,MVU4688,69.0,67.0
2854,129.0,80,R01,PAGADA,2023-11-05,00:00,AV SIEMPRE VIVA,UM96201,49.0,45.0
2858,128.0,80,R03,ERROR,2020-08-08,00:00,RUTA 9,CBMUK,48.0,44.0
2863,123.0,80,R01,APELADA,2022-11-21,00:00,AV SIEMPRE VIVA,XIIUME,43.0,39.0
2870,134.0,80,R01,IMPAGA,2020-05-02,00:00,AV LIBERTADOR,XIIUME,54.0,50.0
2899,90.0,80,R02,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,VTIIAHV,10.0,6.0
2913,143.0,80,R02,ERROR,2020-08-05,00:00,AV LIBERTADOR,CT5B876,63.0,59.0
2916,95.0,40,,PAGADA,1932-01-01,00:00,AV LIBERTADOR,BHRP770,55.0,53.0
2921,121.0,80,R02,ERROR,2021-07-19,00:00,RUTA 9,WEFLYN,41.0,37.0
2928,97.0,40,R01,ERROR,2020-12-26,00:00,RUTA 9,YLO8WUE,57.0,55.0
2947,77.0,60,R02,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,OUTSTDN,17.0,14.0
2962,149.0,80,,ERROR,2022-11-06,00:00,AV SIEMPRE VIVA,GLEN1E,69.0,65.0
2972,113.0,60,,ERROR,2020-07-02,00:00,AV LIBERTADOR,W326AVE,53.0,50.0
2978,139.0,60,R02,ERROR,2023-03-11,00:00,AV SIEMPRE VIVA,831MDB,79.0,76.0
2981,81.0,60,R02,IMPAGA,2021-07-23,00:00,RUTA 9,XIIUME,21.0,18.0
